IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
-18.06641,5.37109,1006.83594,-0.97656,-2.92969,1008.30078,-5.85937,-57.61719,1012.69531
-10.25391,5.85937,1020.01953,-10.74219,-4.39453,1017.08984,-9.27734,-56.15234,1007.8125
-6.34766,-1.46484,1016.11328,-2.44141,1.46484,1011.71875,-8.30078,-70.3125,1018.55469
-13.18359,10.74219,1014.64844,-3.90625,8.78906,1014.16016,-8.78906,-60.05859,1007.32422
-4.88281,5.37109,1019.53125,-7.32422,6.34766,1008.30078,-9.27734,-78.61328,1017.08984
-8.30078,9.27734,1016.11328,-2.92969,0.0,1010.74219,-14.64844,-59.08203,1007.8125
-11.23047,-2.92969,1028.32031,-11.23047,0.97656,1021.48437,-3.90625,-61.03516,1023.92578
-7.8125,10.25391,1020.99609,-2.44141,5.85937,1011.23047,-2.44141,-53.71094,1012.69531
-6.34766,0.48828,1030.76172,-13.18359,1.95312,1013.18359,-11.23047,-59.57031,1016.11328
-25.39063,-4.39453,1017.08984,1.95312,1.46484,998.04687,-12.20703,-75.19531,1023.92578
-3.41797,20.50781,1022.46094,-20.01953,4.39453,1004.88281,-1.46484,-67.38281,1021.97266
-7.8125,0.97656,1006.83594,-7.8125,11.23047,994.62891,-9.27734,-71.28906,1014.16016
-12.69531,-3.41797,1009.27734,-11.23047,6.34766,1013.18359,-11.71875,-59.08203,1007.32422
-6.83594,9.27734,1015.13672,-16.11328,5.37109,1017.08984,-13.67187,-69.33594,1019.53125
-13.18359,11.23047,1024.90234,-3.41797,-3.90625,1012.69531,-20.99609,-74.21875,1008.78906
-16.60156,15.13672,1029.29688,-28.32031,-5.37109,1012.20703,-6.34766,-54.6875,1017.57812
-4.39453,-1.95312,1013.67187,2.92969,3.90625,1013.67187,1.46484,-77.63672,1006.83594
-17.57813,2.92969,1013.18359,-4.39453,3.90625,1006.83594,-26.85547,-68.35938,1018.55469
-2.44141,8.30078,1017.08984,-6.34766,10.25391,1020.99609,2.44141,-72.75391,1026.85547
-24.90234,-5.37109,1025.87891,-20.01953,9.76562,1018.55469,-8.30078,-48.33984,1020.01953
-20.01953,19.53125,1016.60156,-14.64844,12.69531,1021.97266,-24.90234,-64.94141,1013.67187
-8.78906,13.18359,1017.57812,-4.88281,0.97656,1013.67187,3.90625,-65.91797,1021.48437
-15.625,2.92969,1031.73828,-17.08984,-2.92969,1018.06641,-9.27734,-58.10547,1024.90234
0.48828,13.67187,1022.94922,-3.90625,-0.48828,1012.20703,-16.60156,-68.84766,1008.78906
-10.74219,-2.44141,1020.50781,-15.625,-8.30078,1010.25391,-7.8125,-52.24609,1016.11328
-10.25391,1.95312,1014.16016,-11.71875,-2.44141,1012.20703,-0.48828,-62.01172,1007.32422
-25.39063,5.85937,1018.06641,-0.97656,-6.34766,1015.13672,-1.95312,-60.05859,1015.625
-20.50781,7.32422,1028.80859,-8.30078,-3.41797,1005.85937,-10.25391,-62.5,1026.36719
-16.11328,15.13672,1006.83594,-23.92578,-4.88281,1017.08984,-5.85937,-65.91797,1016.60156
-9.76562,3.90625,1013.18359,-1.95312,-0.48828,1005.85937,-4.39453,-66.89453,1007.8125
-18.06641,-5.37109,1008.30078,-8.78906,7.32422,1021.97266,-8.78906,-70.3125,1011.23047
2.92969,11.71875,1027.83203,-12.69531,0.0,1007.32422,-1.46484,-83.49609,1011.71875
-9.76562,6.83594,1010.25391,-5.85937,11.23047,1017.57812,-8.78906,-70.3125,1021.97266
-3.41797,14.16016,1016.11328,-4.39453,6.34766,1006.83594,-5.85937,-52.24609,1016.60156
-11.71875,-0.48828,1008.78906,-5.37109,0.48828,1013.18359,-10.74219,-77.14844,1010.74219
-17.08984,12.69531,1016.60156,-10.74219,2.92969,1019.53125,-14.16016,-67.87109,1016.60156
-9.27734,0.97656,1020.50781,-19.04297,2.92969,1008.30078,-6.83594,-76.17188,1014.64844
-18.55469,6.83594,1002.92969,-15.625,-0.48828,1006.34766,-8.30078,-76.17188,1002.92969
