FilePath,Label
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_11.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_12.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_13.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_15.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_16.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_17.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_20.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_24.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_35.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_36.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_45.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_48.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_5.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_6.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_2_EMG_stft_9.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_11.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_12.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_16.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_18.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_2.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_20.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_21.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_24.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_25.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_26.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_27.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_28.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_29.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_3.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_30.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_32.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_33.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_34.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_35.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_36.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_38.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_39.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_44.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_46.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_47.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_48.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_49.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_51.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_52.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_53.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_6.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_61.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_64.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_7.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_1_EMG_stft_8.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_1.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_10.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_11.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_13.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_15.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_17.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_19.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_2.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_20.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_22.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_23.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_24.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_25.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_26.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_27.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_28.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_29.png,baseline
E:/master-2/madgewick_filter/SplitEMG_test_data_20240312\baseline\STFT_2_EMG_stft_3.png,baseline
